Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,PQL,Region
6,leaps whitesheep,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2,APAC_North
7,Marine,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2,APAC_North
8,TFC,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2,APAC_North
9,Welfare,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2,APAC_North
10,FC Destroy,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2,APAC_North
1,LAG,73,8,3,1,15,1,5,1,12,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
2,Ace1,43,4,1,4,2,2,9,3,5,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
3,D4RK,37,2,19,14,3,17,2,17,3,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
4,BeastMode,34,5,6,2,4,19,0,10,9,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
5,AVA,29,1,5,12,0,8,7,9,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
6,RPG,27,17,1,9,3,5,3,2,5,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
7,ARZ,25,14,2,19,1,4,13,12,2,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
8,Zenith,25,3,4,7,0,15,0,5,6,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
9,TSURUGI,21,18,1,11,5,11,8,8,3,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
10,UC,21,19,3,6,7,18,0,7,5,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
11,RootunionGaming,21,9,4,17,0,7,3,4,4,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
12,WYV,17,10,0,13,0,3,3,6,1,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
13,Core Second,16,7,3,8,4,12,2,14,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
14,REAH,15,15,3,5,4,16,0,11,2,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
15,QueenSquadRoyal,13,16,1,3,4,20,0,13,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
16,Creatives,12,6,1,10,3,10,1,20,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
17,Kingdom,7,11,1,20,0,6,1,15,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
18,monkey,5,20,0,16,3,9,0,16,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
19,DDD,5,13,0,15,1,14,1,18,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
20,Harmony Glory,2,12,0,18,0,13,0,19,0,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
1,HE,51,1,10,7,8,6,3,4,7,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
2,YaBaL,50,7,1,2,11,4,15,6,3,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
3,IBSG,49,11,3,1,7,1,14,20,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
4,ENG,47,8,2,3,2,3,1,1,14,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
5,OC,33,9,1,4,8,2,4,5,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
6,C-VA KAG,25,5,8,13,6,9,0,12,3,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
7,ARK5,24,10,2,6,1,5,1,2,2,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
8,KaisenDONDON,23,2,5,12,2,11,4,11,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
9,Solid,22,18,0,17,1,15,5,3,8,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
10,ORB.G,21,3,7,20,0,12,2,8,2,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
11,RDO,19,6,1,9,8,17,0,9,3,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
12,NAT,18,14,5,16,1,7,1,7,4,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
13,LLGS,14,13,2,5,3,13,0,19,3,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
14,PiratesOfMirage,12,4,3,11,1,19,2,16,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
15,EXiA KR,11,12,3,14,0,14,4,14,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
16,NFM,10,19,1,19,0,10,1,13,5,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
17,JDT,7,20,0,15,0,16,1,10,3,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
18,Serpens,5,16,0,18,0,8,2,15,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
19,Lixis,4,17,0,8,2,18,0,18,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
20,GEMI,4,15,1,10,0,20,0,17,0,Lobby 2,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
1,Fujii Gaming,50,1,9,1,10,9,3,18,2,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
2,LFT BKGK,47,9,0,2,11,1,9,10,2,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
3,TW,44,3,5,10,2,2,5,3,7,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
4,RuinZ,41,7,6,16,6,12,6,2,10,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
5,HIT,37,4,2,5,2,14,1,1,10,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
6,BlackGorillaN,34,2,13,17,0,10,5,4,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
7,LapiLegends,26,16,0,9,4,5,6,5,6,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
8,Crest,24,11,5,7,9,15,1,8,2,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
9,Black,20,12,2,3,5,11,2,11,1,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
10,EB,16,15,0,12,1,3,3,12,2,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
11,ORC,15,14,2,8,0,6,3,16,4,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
12,LandMarkGondola,15,5,0,14,3,4,2,17,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
13,DCN,14,13,2,13,0,8,8,20,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
14,Ignition,12,6,6,15,1,16,0,13,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
15,Ark cha Puppy,12,10,0,6,1,18,3,7,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
16,BEXT,12,18,1,4,0,7,2,14,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
17,sspZ,10,17,0,11,3,13,0,15,4,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
18,TeamRoyHage,5,19,0,19,0,20,0,6,2,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
19,WGT,4,8,2,20,0,19,0,19,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
20,DoSanKo,2,20,0,18,0,17,0,9,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
1,Joel Mark,68,1,27,19,0,4,6,4,13,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
2,FC Destroy,66,15,1,1,11,1,14,3,8,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
3,Atum,29,3,0,10,1,6,3,2,4,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
4,Lunatics,28,12,3,9,3,5,8,6,4,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
5,Marine,25,9,5,14,0,2,6,10,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
6,KIBIINA-NO-OUCHI,25,2,5,3,0,10,0,9,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
7,Welfare,23,20,0,2,5,8,2,5,1,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
8,NrTv.Vs,22,10,2,18,2,14,0,1,3,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
9,SYTH,21,18,0,5,2,11,4,7,7,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
10,goo choki paa,19,5,4,6,3,9,2,12,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
11,FA Club FUG,18,6,3,7,3,17,3,15,2,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
12,Fada-one Arcana,18,4,3,17,0,3,1,8,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
13,EGJP,17,11,2,12,7,12,0,13,4,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
14,APXRS,15,16,0,8,6,15,0,11,5,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
15,456,10,17,0,4,2,7,0,18,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
16,WOW.AXIS,8,14,0,15,4,13,1,17,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
17,FaTe Diamond,6,13,2,13,0,16,0,14,1,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
18,TFC,2,20,0,11,0,18,1,19,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
19,leaps whitesheep,2,8,0,16,0,19,0,16,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
20,aim,0,19,0,20,0,20,0,20,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_2,APAC_North
1,UC,63,1,17,15,3,1,15,8,1,Lobby 1,Semifinals,16,0,20,0,Preseason_Qualifier_2,APAC_North
2,HE,60,15,3,13,2,16,0,2,14,Lobby 1,Semifinals,2,12,7,6,Preseason_Qualifier_2,APAC_North
3,ORB.G,59,14,0,7,0,7,9,1,6,Lobby 1,Semifinals,14,3,1,9,Preseason_Qualifier_2,APAC_North
4,ENG,55,3,4,5,10,6,1,11,4,Lobby 1,Semifinals,1,9,16,0,Preseason_Qualifier_2,APAC_North
5,IBSG,52,9,0,1,18,5,0,20,1,Lobby 1,Semifinals,10,4,4,4,Preseason_Qualifier_2,APAC_North
6,RPG,45,6,1,6,4,3,1,18,0,Lobby 1,Semifinals,9,2,2,13,Preseason_Qualifier_2,APAC_North
7,ARZ,41,10,4,10,3,2,16,12,0,Lobby 1,Semifinals,19,0,10,2,Preseason_Qualifier_2,APAC_North
8,Solid,40,4,3,14,3,10,0,3,12,Lobby 1,Semifinals,7,1,9,1,Preseason_Qualifier_2,APAC_North
9,LAG,37,2,7,3,0,11,4,6,1,Lobby 1,Semifinals,12,4,17,0,Preseason_Qualifier_2,APAC_North
10,AVA,29,18,1,11,2,8,3,7,0,Lobby 1,Semifinals,5,3,5,6,Preseason_Qualifier_2,APAC_North
11,Ace1,28,11,2,8,0,4,1,14,0,Lobby 1,Semifinals,3,8,13,0,Preseason_Qualifier_2,APAC_North
12,RUG,26,13,0,19,0,14,0,9,2,Lobby 1,Semifinals,4,3,3,5,Preseason_Qualifier_2,APAC_North
13,BeastMode,23,16,0,2,5,18,3,17,0,Lobby 1,Semifinals,15,0,6,2,Preseason_Qualifier_2,APAC_North
14,Zenith,22,8,4,16,0,9,2,4,3,Lobby 1,Semifinals,6,1,18,0,Preseason_Qualifier_2,APAC_North
15,D4RK,20,19,3,17,3,15,1,19,1,Lobby 1,Semifinals,13,6,15,3,Preseason_Qualifier_2,APAC_North
16,ARK5,20,5,4,4,0,13,0,16,0,Lobby 1,Semifinals,17,0,8,4,Preseason_Qualifier_2,APAC_North
17,KaisenDONDON,19,7,2,9,4,12,0,13,0,Lobby 1,Semifinals,11,3,11,1,Preseason_Qualifier_2,APAC_North
18,YaBaL,14,20,0,20,0,17,0,5,6,Lobby 1,Semifinals,8,2,0,0,Preseason_Qualifier_2,APAC_North
19,C-VA KAG,8,17,1,18,0,19,0,10,5,Lobby 1,Semifinals,18,0,19,0,Preseason_Qualifier_2,APAC_North
20,OC,6,12,0,12,0,20,0,15,1,Lobby 1,Semifinals,20,1,14,0,Preseason_Qualifier_2,APAC_North
1,LFT BKGK,62,6,5,12,0,6,4,1,11,Lobby 2,Semifinals,5,6,3,6,Preseason_Qualifier_2,APAC_North
2,Lunatics,58,5,8,2,7,4,4,3,3,Lobby 2,Semifinals,3,4,16,0,Preseason_Qualifier_2,APAC_North
3,Marine,53,11,5,7,5,8,3,6,0,Lobby 2,Semifinals,1,13,4,1,Preseason_Qualifier_2,APAC_North
4,TW,50,1,7,5,2,7,3,12,4,Lobby 2,Semifinals,15,5,7,5,Preseason_Qualifier_2,APAC_North
5,FC Destroy,46,13,0,4,6,5,7,10,2,Lobby 2,Semifinals,7,9,12,6,Preseason_Qualifier_2,APAC_North
6,HIT,46,7,4,1,5,1,5,18,0,Lobby 2,Semifinals,11,0,15,3,Preseason_Qualifier_2,APAC_North
7,Black,44,18,0,3,11,14,0,20,0,Lobby 2,Semifinals,2,1,1,3,Preseason_Qualifier_2,APAC_North
8,goo choki paa,36,19,0,13,0,3,12,5,5,Lobby 2,Semifinals,19,0,11,6,Preseason_Qualifier_2,APAC_North
9,Joel Mark,35,14,5,15,3,2,5,14,0,Lobby 2,Semifinals,14,3,10,4,Preseason_Qualifier_2,APAC_North
10,BlackGorillaN,32,2,8,14,1,20,0,17,0,Lobby 2,Semifinals,6,3,5,3,Preseason_Qualifier_2,APAC_North
11,Atum,32,20,0,19,0,16,3,2,8,Lobby 2,Semifinals,13,0,2,2,Preseason_Qualifier_2,APAC_North
12,RuinZ,30,16,3,10,7,9,2,9,5,Lobby 2,Semifinals,4,1,14,0,Preseason_Qualifier_2,APAC_North
13,LapiLegends,23,3,3,6,2,11,3,19,0,Lobby 2,Semifinals,16,0,6,1,Preseason_Qualifier_2,APAC_North
14,Fujii Gaming,22,10,1,20,0,10,2,16,2,Lobby 2,Semifinals,10,2,9,7,Preseason_Qualifier_2,APAC_North
15,Crest,22,15,1,11,2,15,0,4,3,Lobby 2,Semifinals,18,2,8,4,Preseason_Qualifier_2,APAC_North
16,SYTH,17,17,0,9,1,18,0,8,10,Lobby 2,Semifinals,8,0,19,0,Preseason_Qualifier_2,APAC_North
17,NrTv.Vs,17,4,3,18,0,12,2,13,0,Lobby 2,Semifinals,9,3,20,0,Preseason_Qualifier_2,APAC_North
18,Welfare,9,12,1,8,2,17,0,15,0,Lobby 2,Semifinals,12,0,13,0,Preseason_Qualifier_2,APAC_North
19,EB,7,9,1,16,0,13,0,7,0,Lobby 2,Semifinals,20,0,18,0,Preseason_Qualifier_2,APAC_North
20,KIBIINA-NO-OUCHI,6,8,1,17,0,19,0,11,0,Lobby 2,Semifinals,17,0,17,2,Preseason_Qualifier_2,APAC_North
1,FC Destroy,77,2,15,16,0,12,0,1,21,Lobby 1,Finals,3,5,4,2,Preseason_Qualifier_2,APAC_North
2,UC,58,7,2,3,9,2,10,4,2,Lobby 1,Finals,10,6,12,2,Preseason_Qualifier_2,APAC_North
3,LFT BKGK,55,6,6,2,13,11,1,13,3,Lobby 1,Finals,5,8,5,2,Preseason_Qualifier_2,APAC_North
4,HE,49,1,7,18,0,14,4,6,1,Lobby 1,Finals,2,7,10,3,Preseason_Qualifier_2,APAC_North
5,LAG,44,9,2,1,10,6,2,10,2,Lobby 1,Finals,7,2,13,3,Preseason_Qualifier_2,APAC_North
6,Black,44,10,2,4,3,1,11,9,1,Lobby 1,Finals,13,1,6,1,Preseason_Qualifier_2,APAC_North
7,IBSG,40,11,0,9,0,5,6,17,0,Lobby 1,Finals,4,2,1,8,Preseason_Qualifier_2,APAC_North
8,RPG,37,20,0,8,0,9,2,3,7,Lobby 1,Finals,18,0,3,10,Preseason_Qualifier_2,APAC_North
9,ENG,34,3,3,5,3,8,2,14,0,Lobby 1,Finals,14,0,9,9,Preseason_Qualifier_2,APAC_North
10,Marine,32,13,0,17,0,19,0,15,5,Lobby 1,Finals,1,9,15,3,Preseason_Qualifier_2,APAC_North
11,ARZ,26,18,0,11,4,17,0,8,3,Lobby 1,Finals,11,0,2,6,Preseason_Qualifier_2,APAC_North
12,TW,25,5,5,6,5,7,3,20,0,Lobby 1,Finals,12,0,16,1,Preseason_Qualifier_2,APAC_North
13,Joel Mark,24,19,3,13,5,13,0,7,3,Lobby 1,Finals,9,6,20,0,Preseason_Qualifier_2,APAC_North
14,HIT,21,14,0,7,1,3,1,5,3,Lobby 1,Finals,20,0,14,0,Preseason_Qualifier_2,APAC_North
15,goo choki paa,20,16,0,14,0,15,1,2,1,Lobby 1,Finals,16,0,7,4,Preseason_Qualifier_2,APAC_North
16,Lunatics,19,8,0,15,3,20,1,16,3,Lobby 1,Finals,8,7,19,0,Preseason_Qualifier_2,APAC_North
17,Atum,19,4,1,10,0,10,4,11,2,Lobby 1,Finals,17,0,8,0,Preseason_Qualifier_2,APAC_North
18,ORB.G,15,15,5,19,0,16,2,12,0,Lobby 1,Finals,6,3,17,0,Preseason_Qualifier_2,APAC_North
19,Solid,14,12,3,20,0,4,1,19,0,Lobby 1,Finals,19,0,11,3,Preseason_Qualifier_2,APAC_North
20,AVA,7,17,0,12,1,18,3,18,0,Lobby 1,Finals,15,0,18,1,Preseason_Qualifier_2,APAC_North
1,BKMN,75,3,12,3,7,3,8,1,15,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
2,REAH,39,7,3,4,10,4,2,3,4,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
3,Marine,37,16,3,8,5,2,9,10,7,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
4,UC,37,2,8,10,5,8,4,8,5,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
5,LFT BKGK,37,4,6,7,8,13,3,2,2,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
6,HIT,33,1,10,5,3,14,0,17,3,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
7,SYTH,29,8,1,1,6,15,6,14,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
8,ScL,26,6,3,11,1,1,5,12,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
9,Solid,22,10,0,2,3,5,2,11,1,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
10,YaBaL,21,12,4,16,2,7,7,9,2,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
11,QueenSquadRoyal,15,19,1,6,3,6,1,5,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
12,AVA,14,9,1,12,0,9,2,6,3,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
13,mrg_gundan,12,18,1,9,1,10,0,7,3,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
14,BEXT,11,5,0,15,1,12,4,19,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
15,Ark cha Puppy,10,15,0,19,0,17,0,4,4,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
16,KATENGECCH,5,17,0,18,0,18,0,13,4,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
17,Serpens,5,11,1,14,0,11,1,16,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
18,RUG,4,14,2,13,0,19,0,18,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
19,TeamRoyHage,3,13,0,17,0,16,0,15,1,Lobby 1,Round_1,,,,,Preseason_Qualifier_3,APAC_North
1,Crest,56,3,6,7,10,1,10,5,4,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
2,HE,44,1,10,11,5,5,8,15,3,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
3,EXiA KR,41,9,1,6,2,6,4,1,14,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
4,RadicalPopGaming,37,2,5,16,0,2,3,6,8,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
5,Atum,33,12,0,3,3,3,4,4,6,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
6,Joel Mark,29,6,13,18,0,13,1,2,2,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
7,WYV,26,11,1,1,10,14,0,13,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
8,Servelal alpha,23,16,5,9,4,12,6,7,2,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
9,456,23,7,3,4,3,11,5,11,2,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
10,ARK5,21,10,5,2,1,18,0,12,3,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
11,NANB,21,4,1,5,3,10,1,8,3,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
12,Fortuna,17,15,1,10,2,4,4,9,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
13,monkey,15,20,0,8,5,9,3,18,3,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
14,NAT,14,5,0,17,0,7,4,17,3,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
15,WGT,13,13,0,12,0,16,1,3,3,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
16,JDT,9,19,0,13,3,17,3,10,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
17,Scarlet Fox,7,8,2,15,1,19,0,16,1,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
18,Reinforce,5,14,0,19,0,8,2,20,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
19,TensainoGakitati,3,17,0,14,0,15,0,14,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
20,aim,1,18,0,20,1,20,0,19,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_3,APAC_North
1,PiratesOfMirage,69,1,21,1,13,4,6,16,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
2,TW,56,4,3,2,11,8,5,2,12,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
3,APXRS,42,5,9,18,0,1,9,7,5,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
4,ARZ,39,14,0,3,7,3,6,4,6,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
5,GW,37,7,3,14,3,17,3,1,12,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
6,Fujii Gaming,22,9,1,4,3,7,2,5,2,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
7,C-VA KAG,21,3,10,16,0,18,0,12,3,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
8,IBSG,20,18,0,5,2,12,0,3,6,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
9,ORB.G,19,2,4,12,0,16,1,8,2,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
10,RuinZ,18,17,0,7,0,2,3,6,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
11,D4RK,16,19,1,11,4,11,3,11,5,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
12,Zenith,11,10,0,6,1,6,2,17,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
13,Creatives,10,15,0,15,0,5,2,10,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
14,Ignition,9,6,0,10,0,9,1,13,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
15,RAVENS,8,8,2,19,0,14,1,9,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
16,LandMarkGondola,7,11,0,8,1,13,1,18,1,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
17,EGJP,5,13,0,20,0,10,1,14,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
18,Farley,4,12,0,17,2,15,0,19,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
19,TVN,4,16,2,13,0,19,0,15,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_3,APAC_North
1,LAG,55,5,4,3,8,2,11,2,3,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
2,ORC,47,1,6,2,4,9,2,3,5,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
3,NrTv.Vs,35,13,0,6,5,14,0,1,13,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
4,ENG,29,16,0,15,1,1,10,15,4,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
5,Ace1,28,8,2,1,8,13,1,17,2,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
6,Black,25,6,7,5,1,4,1,9,2,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
7,FA Club FUG,24,11,6,11,0,10,5,7,6,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
8,APEX反省会,24,3,5,8,3,11,3,16,3,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
9,TFC,24,19,0,9,5,3,8,10,0,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
10,BeastMode,23,10,6,4,6,6,0,14,0,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
11,KaisenDONDON,19,12,4,10,2,5,4,12,1,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
12,SyS,19,4,0,12,2,7,0,4,3,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
13,Fada-one Arcana,17,7,1,14,2,8,3,13,4,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
14,Welfare,16,2,2,18,2,12,2,18,0,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
15,EB,10,9,0,13,0,15,1,6,2,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
16,LLGS,9,15,0,7,0,16,0,8,3,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
17,OC,5,17,0,17,1,17,0,5,0,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
18,Zelkova,3,14,0,16,2,19,0,19,0,Lobby 4,Round_1,,,,,Preseason_Qualifier_3,APAC_North
