Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,Unnamed: 0,P.4,K.4,P.5,K.5
5.0,NMS,52,12,1,4,6,6,9,9,7,Lobby 1,Finals,,5.0,3.0,6.0,8.0
6.0,OG,46,10,0,3,5,2,5,10,2,Lobby 1,Finals,,7.0,5.0,7.0,3.0
7.0,RD,44,14,3,12,5,9,5,2,5,Lobby 1,Finals,,8.0,8.0,10.0,1.0
8.0,BCG,37,19,1,5,7,14,1,15,2,Lobby 1,Finals,,4.0,6.0,4.0,4.0
9.0,DI,37,1,10,11,1,20,0,6,3,Lobby 1,Finals,,16.0,3.0,13.0,3.0
10.0,BGR,36,11,0,1,6,4,3,8,0,Lobby 1,Finals,,9.0,0.0,8.0,3.0
11.0,K1CK,35,2,6,14,0,5,5,7,5,Lobby 1,Finals,,10.0,0.0,19.0,0.0
12.0,TD,28,16,0,13,2,12,1,14,0,Lobby 1,Finals,,3.0,5.0,3.0,3.0
13.0,signelunaire,22,6,2,6,5,19,0,18,0,Lobby 1,Finals,,11.0,2.0,9.0,4.0
14.0,SCBS,22,4,6,16,0,16,0,5,2,Lobby 1,Finals,,6.0,2.0,17.0,0.0
15.0,SMS,20,7,2,10,3,10,0,19,3,Lobby 1,Finals,,14.0,3.0,14.0,0.0
16.0,CLN,18,13,6,8,1,11,2,17,2,Lobby 1,Finals,,17.0,0.0,18.0,3.0
17.0,AAS,16,8,3,17,0,18,0,13,3,Lobby 1,Finals,,18.0,0.0,5.0,3.0
18.0,TRIHARD,10,20,0,20,0,7,0,11,1,Lobby 1,Finals,,15.0,3.0,11.0,0.0
19.0,CHI,6,9,1,18,0,8,1,20,0,Lobby 1,Finals,,19.0,0.0,20.0,0.0
20.0,FV,3,18,0,19,0,17,0,12,1,Lobby 1,Finals,,20.0,0.0,15.0,0.0
